epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,498.239,1.18138,0.54465,4.18584,0.03295,0.38064,0.57607,0.71429,0.76297,0.50455,0.57607,0.71429,0.76297,0.62631,1.1881,0.99572,3.207,0.04282,0,0.0017628,0.0017628,0.0017628
29,514.216,1.15988,0.3714,4.01879,0.03502,0.39647,0.67243,0.57143,0.70127,0.46615,0.67243,0.57143,0.70127,0.62416,1.20833,0.91916,2.94704,0.04685,0,0.00174571,0.00174571,0.00174571
30,530.6,1.19449,0.5797,3.66395,0.03257,0.37187,0.57643,0.84278,0.70171,0.48496,0.57643,0.84278,0.70171,0.62146,1.26406,0.77151,2.76063,0.04813,0,0.00172812,0.00172812,0.00172812
31,546.386,1.12212,0.44869,3.65422,0.03253,0.3047,0.67435,0.90476,0.87535,0.57531,0.67435,0.90476,0.87535,0.76095,1.11187,0.80386,2.29054,0.04114,0,0.00171004,0.00171004,0.00171004
32,563.8,1.16055,0.57231,3.10666,0.02993,0.40901,0.62856,0.85714,0.82065,0.59744,0.62856,0.85714,0.82065,0.73997,1.09115,0.83075,2.0178,0.03982,0,0.00169147,0.00169147,0.00169147
33,580.988,1.16129,0.44045,3.27783,0.03152,0.37861,0.66799,0.86243,0.81052,0.59818,0.66799,0.86243,0.81052,0.75812,1.02773,0.60025,1.68951,0.03731,0,0.00167244,0.00167244,0.00167244
34,597.654,1.13425,0.51141,3.06028,0.02991,0.274,0.68911,0.63384,0.82279,0.45579,0.68911,0.63384,0.82279,0.68173,1.67602,0.58219,1.83013,0.06466,0,0.00165295,0.00165295,0.00165295
35,614.042,1.22086,0.35798,2.8553,0.03433,0.26936,0.74324,0.82751,0.83053,0.46335,0.74324,0.82751,0.83053,0.62428,1.66058,0.62335,1.6964,0.06339,0,0.00163303,0.00163303,0.00163303
36,629.664,1.19144,0.68589,3.08641,0.03629,0.49392,0.70306,0.7619,0.75212,0.56396,0.70306,0.7619,0.75212,0.66216,1.02847,0.75606,1.3467,0.03646,0,0.00161267,0.00161267,0.00161267
37,645.779,1.10374,0.47991,2.67398,0.03214,0.40576,0.73409,0.85714,0.82622,0.66538,0.73409,0.85714,0.82622,0.75737,0.86618,0.78985,1.10716,0.03035,0,0.00159191,0.00159191,0.00159191
38,662.963,1.0373,0.38597,2.36495,0.02659,0.25108,0.86076,0.80952,0.87668,0.63981,0.86076,0.80952,0.87668,0.79335,1.14936,0.84324,1.18368,0.04239,0,0.00157074,0.00157074,0.00157074
39,679.53,1.12285,0.36906,2.58479,0.03038,0.34324,0.76156,0.71429,0.86024,0.56515,0.76156,0.71429,0.86024,0.80442,1.26009,0.87741,1.27436,0.05013,0,0.00154919,0.00154919,0.00154919
40,695.82,1.08479,0.36527,2.30282,0.02938,0.27747,0.79986,0.9516,0.89932,0.64534,0.79986,0.9516,0.89932,0.85241,1.16949,0.89281,0.96052,0.04336,0,0.00152727,0.00152727,0.00152727
41,713.069,1.08069,0.27316,2.24692,0.02899,0.20267,0.7062,0.91602,0.87423,0.55129,0.7062,0.91602,0.87423,0.76286,1.51736,0.824,0.91515,0.05713,0,0.001505,0.001505,0.001505
42,729.305,1.03757,0.28482,2.14255,0.0287,0.30184,0.82598,0.67859,0.85573,0.60285,0.82598,0.67859,0.85573,0.76682,1.25096,0.67824,0.91079,0.04527,0,0.00148239,0.00148239,0.00148239
43,745.816,0.92934,0.2781,2.18666,0.02655,0.18284,0.7505,0.85952,0.8986,0.69141,0.7505,0.85952,0.8986,0.82225,0.89842,0.50939,0.8611,0.03022,0,0.00145945,0.00145945,0.00145945
44,762.68,0.97204,0.27642,2.0312,0.02498,0.1776,0.61658,0.7619,0.81324,0.64253,0.61658,0.7619,0.81324,0.7527,0.94748,0.31202,0.93406,0.03392,0,0.00143621,0.00143621,0.00143621
45,778.988,1.03566,0.4192,1.89681,0.02739,0.40659,0.59393,0.85714,0.82329,0.52969,0.59393,0.85714,0.82329,0.73504,1.60622,0.4451,1.01065,0.06095,0,0.00141267,0.00141267,0.00141267
46,795.292,1.10989,0.33224,1.88725,0.03105,0.19027,0.83324,0.61905,0.80802,0.5018,0.83324,0.61905,0.80802,0.74927,1.57624,0.53992,1.04119,0.0598,0,0.00138886,0.00138886,0.00138886
47,811.613,0.93024,0.45124,1.69457,0.02376,0.36018,0.76887,0.71429,0.84229,0.62515,0.76887,0.71429,0.84041,0.76165,1.00586,0.81505,1.0713,0.03468,0,0.00136478,0.00136478,0.00136478
48,828.22,1.09511,0.41402,1.71996,0.02704,0.23586,0.73664,0.66667,0.77156,0.56659,0.74832,0.7082,0.78454,0.71152,0.9977,0.91201,1.08719,0.03529,0,0.00134047,0.00134047,0.00134047
49,844.793,0.94802,0.33159,1.62668,0.02532,0.25337,0.72773,0.76374,0.80249,0.54897,0.72773,0.76374,0.80249,0.65565,1.33941,1.07412,0.98739,0.05045,0,0.00131593,0.00131593,0.00131593
50,861.468,1.0101,0.2999,1.84241,0.03016,0.32961,0.83578,0.80952,0.84602,0.62139,0.83578,0.80952,0.84602,0.72511,1.09397,1.02205,0.89607,0.03969,0,0.00129118,0.00129118,0.00129118
51,877.354,0.84672,0.24021,1.56293,0.0228,0.23281,0.97542,0.66667,0.844,0.60677,0.97542,0.66667,0.844,0.75883,1.1503,0.99538,0.87278,0.04051,0,0.00126623,0.00126623,0.00126623
52,893.144,0.99747,0.42589,1.61107,0.02861,0.37413,0.80031,0.80952,0.88553,0.64705,0.80031,0.80952,0.88553,0.81871,1.16169,0.91834,0.99221,0.04412,0,0.00124111,0.00124111,0.00124111
53,909.658,0.82044,0.31719,1.551,0.02152,0.25882,0.73048,0.9035,0.84272,0.68652,0.73048,0.9035,0.84272,0.79699,0.9416,0.95818,0.78321,0.03181,0,0.00121583,0.00121583,0.00121583
54,926.453,0.78839,0.30496,1.28465,0.01945,0.21512,0.87849,0.71429,0.8883,0.68689,0.87849,0.71429,0.8883,0.82434,0.91325,0.91902,0.82523,0.03125,0,0.00119041,0.00119041,0.00119041
55,943.289,0.77606,0.24749,1.28659,0.02179,0.20837,0.74856,0.7619,0.87009,0.60965,0.74856,0.7619,0.86863,0.80828,1.20532,0.9431,0.94379,0.04364,0,0.00116487,0.00116487,0.00116487
