epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,391.517,0.45067,0.94688,0.94033,0.37208,1,0.54205,0.49592,0.44827,1.14466,0.9729,0.0014456,0.0014456,0.0014456
44,400.428,0.44434,0.96413,0.93899,0.38187,0.96667,0.47859,0.42897,0.44388,1.17721,0.98882,0.0014324,0.0014324,0.0014324
45,409.309,0.45819,0.9762,0.94233,0.38492,0.96667,0.48414,0.44792,0.40898,1.08395,0.95194,0.0014192,0.0014192,0.0014192
46,418.237,0.45097,0.9762,0.94358,0.37305,0.89261,0.47877,0.40648,0.51939,1.15452,1.05495,0.001406,0.001406,0.001406
47,427.13,0.45929,0.90822,0.93065,0.38726,1,0.52809,0.48259,0.43101,1.05813,0.93581,0.0013928,0.0013928,0.0013928
48,436.054,0.52095,1.00244,0.94752,0.40041,0.97956,0.53584,0.49198,0.41946,1.02734,0.93221,0.0013796,0.0013796,0.0013796
49,444.977,0.41673,0.97996,0.92725,0.4101,0.92703,0.41045,0.37021,0.45453,1.21348,0.95524,0.0013664,0.0013664,0.0013664
50,453.854,0.41764,0.91685,0.92318,0.38559,0.96667,0.51924,0.47031,0.41245,1.08515,0.93221,0.0013532,0.0013532,0.0013532
51,462.896,0.46461,1.01916,0.95534,0.36903,0.93333,0.52523,0.44929,0.47942,1.13155,0.97377,0.00134,0.00134,0.00134
52,471.816,0.45609,1.03124,0.94696,0.3582,0.91168,0.39045,0.32123,0.54756,1.30017,1.05437,0.0013268,0.0013268,0.0013268
53,480.663,0.3924,0.9738,0.90347,0.36206,0.9,0.42731,0.36505,0.53879,1.19731,0.99111,0.0013136,0.0013136,0.0013136
54,489.947,0.47035,1.00913,0.94733,0.40652,0.93333,0.5188,0.4619,0.45951,1.05883,0.98448,0.0013004,0.0013004,0.0013004
55,498.788,0.44767,1.01538,0.92976,0.37417,1,0.4459,0.37936,0.55389,1.09978,1.05124,0.0012872,0.0012872,0.0012872
56,507.688,0.44354,1.03994,0.92118,0.33621,0.96667,0.39659,0.35391,0.51585,1.19002,1.00375,0.001274,0.001274,0.001274
57,516.64,0.43613,1.13017,0.90761,0.48552,0.66667,0.63854,0.57107,0.46171,1.06941,0.95565,0.0012608,0.0012608,0.0012608
58,525.786,0.42402,0.92578,0.92197,0.3903,1,0.59341,0.51358,0.44177,1.03677,0.96368,0.0012476,0.0012476,0.0012476
59,534.688,0.41904,0.92177,0.92134,0.39918,0.96667,0.57922,0.53049,0.39365,1.0053,0.92892,0.0012344,0.0012344,0.0012344
60,543.575,0.41937,1.15654,0.89916,0.40655,0.98204,0.5866,0.53315,0.41908,0.99495,0.92317,0.0012212,0.0012212,0.0012212
61,552.432,0.39555,0.90791,0.90918,0.47008,0.76667,0.53038,0.46705,0.44354,1.02316,0.9342,0.001208,0.001208,0.001208
62,561.355,0.41422,0.96589,0.92009,0.36152,0.93333,0.56586,0.50992,0.46795,1.03491,0.96126,0.0011948,0.0011948,0.0011948
63,570.387,0.41698,0.84553,0.89386,0.38125,0.94489,0.42902,0.38428,0.45177,1.40732,0.97047,0.0011816,0.0011816,0.0011816
64,579.203,0.44402,0.9716,0.93843,0.44852,0.84052,0.57509,0.51186,0.41041,1.01473,0.92434,0.0011684,0.0011684,0.0011684
65,588.191,0.39786,0.9954,0.8994,0.49841,0.96667,0.5798,0.53236,0.43099,0.9414,0.9338,0.0011552,0.0011552,0.0011552
66,597.029,0.40271,1.06622,0.90139,0.46218,0.94542,0.54467,0.49682,0.40639,1.05228,0.9523,0.001142,0.001142,0.001142
67,605.892,0.43405,0.89561,0.90627,0.39474,0.96667,0.52492,0.46082,0.42631,1.08334,0.96444,0.0011288,0.0011288,0.0011288
68,614.753,0.38502,1.15551,0.86092,0.42942,0.93333,0.46249,0.42597,0.41438,1.08133,0.93701,0.0011156,0.0011156,0.0011156
69,623.636,0.41146,0.9935,0.91028,0.42657,0.9,0.51014,0.46347,0.40435,1.03079,0.9278,0.0011024,0.0011024,0.0011024
70,632.545,0.42503,0.90201,0.92715,0.45444,0.8,0.60927,0.55072,0.41359,1.03706,0.961,0.0010892,0.0010892,0.0010892
71,641.515,0.38255,0.83094,0.9242,0.53447,0.7,0.60362,0.54765,0.4346,1.08237,0.96422,0.001076,0.001076,0.001076
72,650.503,0.41809,0.85027,0.91734,0.44739,0.8,0.52558,0.48329,0.4326,1.03217,0.96237,0.0010628,0.0010628,0.0010628
73,659.396,0.44519,0.89283,0.9267,0.4755,0.83333,0.64516,0.58886,0.43551,1.08882,0.95894,0.0010496,0.0010496,0.0010496
74,668.477,0.4216,0.8752,0.92022,0.49609,0.9,0.61542,0.56796,0.41235,0.93882,0.93717,0.0010364,0.0010364,0.0010364
75,677.354,0.35996,0.94311,0.86115,0.45883,0.8,0.60243,0.53716,0.41403,0.97195,0.92444,0.0010232,0.0010232,0.0010232
76,686.291,0.39621,0.87763,0.88907,0.42582,0.96667,0.49841,0.45095,0.42522,1.03243,0.93286,0.00101,0.00101,0.00101
77,695.179,0.4352,0.8304,0.90904,0.38406,0.9,0.511,0.46366,0.39537,1.04839,0.91924,0.0009968,0.0009968,0.0009968
78,704.056,0.38518,0.9253,0.90364,0.47469,0.96667,0.517,0.46122,0.47319,1.06618,0.98913,0.0009836,0.0009836,0.0009836
79,713.031,0.42515,0.80644,0.89907,0.45839,0.93333,0.52779,0.48516,0.41317,1.12781,0.94226,0.0009704,0.0009704,0.0009704
80,721.919,0.38007,0.82761,0.84888,0.49577,0.96667,0.68107,0.62766,0.41575,0.92858,0.92924,0.0009572,0.0009572,0.0009572
81,730.971,0.41457,0.80613,0.92457,0.54496,0.87841,0.6666,0.61032,0.40122,0.91447,0.93053,0.000944,0.000944,0.000944
82,739.833,0.40264,0.8148,0.91003,0.52896,0.86104,0.66477,0.61286,0.4087,1.00166,0.93154,0.0009308,0.0009308,0.0009308
83,748.748,0.3859,0.75969,0.89417,0.47323,0.86846,0.63179,0.58086,0.3863,1.12552,0.91403,0.0009176,0.0009176,0.0009176
84,757.664,0.39154,0.76571,0.89116,0.49669,0.86667,0.64453,0.59045,0.3873,1.05168,0.91363,0.0009044,0.0009044,0.0009044
85,766.561,0.3979,1.00285,0.8594,0.47499,0.99528,0.59148,0.5438,0.39324,0.9574,0.93425,0.0008912,0.0008912,0.0008912
86,775.887,0.37208,0.89233,0.86224,0.53018,0.82764,0.56134,0.51884,0.43957,1.22236,0.96189,0.000878,0.000878,0.000878
87,784.807,0.36473,0.76049,0.8714,0.41633,0.93333,0.53292,0.48998,0.44736,1.18387,0.96449,0.0008648,0.0008648,0.0008648
88,793.663,0.38848,0.9394,0.90179,0.50141,0.9,0.61849,0.56969,0.42612,1.08017,0.94549,0.0008516,0.0008516,0.0008516
89,802.551,0.40173,0.72624,0.8906,0.54291,0.83333,0.63512,0.57351,0.4529,0.90642,0.96719,0.0008384,0.0008384,0.0008384
90,811.433,0.38742,0.71121,0.89934,0.57776,0.86659,0.64529,0.58122,0.40694,0.89442,0.92091,0.0008252,0.0008252,0.0008252
91,820.34,0.38616,0.96037,0.8647,0.51274,0.9472,0.68281,0.61972,0.43198,0.91091,0.93186,0.000812,0.000812,0.000812
92,829.228,0.38802,0.74225,0.89391,0.51511,0.88544,0.62169,0.5614,0.43003,0.94664,0.93585,0.0007988,0.0007988,0.0007988
93,838.25,0.36188,0.81515,0.88263,0.51045,0.90374,0.60849,0.55855,0.39647,0.92222,0.91391,0.0007856,0.0007856,0.0007856
94,847.186,0.37982,0.74532,0.89047,0.44833,0.9,0.50854,0.47713,0.39432,1.09026,0.90401,0.0007724,0.0007724,0.0007724
95,856.09,0.37658,0.76448,0.89918,0.48521,0.96667,0.57655,0.5345,0.41104,0.92138,0.91555,0.0007592,0.0007592,0.0007592
96,864.981,0.37028,0.75118,0.89803,0.55001,0.8,0.62915,0.57617,0.42351,1.05569,0.92972,0.000746,0.000746,0.000746
97,873.861,0.37173,0.74168,0.88726,0.45174,0.96667,0.61097,0.5489,0.44741,1.03052,0.94349,0.0007328,0.0007328,0.0007328
98,882.765,0.37757,0.73384,0.89243,0.51167,0.83333,0.62466,0.56215,0.42404,0.95598,0.92092,0.0007196,0.0007196,0.0007196
99,891.68,0.38326,0.7366,0.88526,0.49055,0.93333,0.59548,0.54373,0.43328,0.94335,0.93124,0.0007064,0.0007064,0.0007064
100,900.632,0.37966,0.67951,0.92118,0.46536,0.9,0.58057,0.52499,0.41565,0.98437,0.92057,0.0006932,0.0006932,0.0006932
101,909.665,0.38116,0.69701,0.88925,0.59734,0.69245,0.60089,0.54323,0.46621,1.07561,0.97417,0.00068,0.00068,0.00068
102,918.583,0.37432,0.75098,0.90137,0.47332,0.9,0.65896,0.59812,0.46406,0.98152,0.97047,0.0006668,0.0006668,0.0006668
103,927.525,0.39377,0.73847,0.90372,0.51747,0.75088,0.59638,0.54088,0.44115,1.01448,0.94376,0.0006536,0.0006536,0.0006536
104,936.412,0.391,0.65461,0.91795,0.47073,0.86667,0.56218,0.5033,0.46635,1.0749,0.96965,0.0006404,0.0006404,0.0006404
105,945.317,0.36402,0.67702,0.89304,0.54039,0.74482,0.66747,0.59973,0.43527,1.01976,0.94116,0.0006272,0.0006272,0.0006272
106,954.251,0.36849,0.67383,0.8905,0.45627,0.86667,0.61554,0.53701,0.5058,1.16219,1.01244,0.000614,0.000614,0.000614
107,963.138,0.37838,0.70376,0.88564,0.50775,0.86667,0.58136,0.52154,0.46914,1.31297,0.99664,0.0006008,0.0006008,0.0006008
108,972.168,0.38305,0.68931,0.89529,0.52504,0.76667,0.60212,0.54199,0.42628,1.01976,0.94976,0.0005876,0.0005876,0.0005876
109,981.079,0.37854,0.73965,0.9014,0.46721,0.83333,0.57117,0.53354,0.39884,1.0985,0.92606,0.0005744,0.0005744,0.0005744
110,989.956,0.38554,0.76607,0.90727,0.51143,0.90731,0.57118,0.5328,0.36724,0.97015,0.90004,0.0005612,0.0005612,0.0005612
111,998.861,0.36565,0.84989,0.86512,0.56313,0.86667,0.59954,0.5394,0.44834,1.16381,0.94767,0.000548,0.000548,0.000548
112,1007.81,0.33507,0.84607,0.85107,0.58111,0.83238,0.63575,0.56815,0.41524,1.01922,0.92322,0.0005348,0.0005348,0.0005348
113,1016.7,0.36984,0.67149,0.89153,0.57899,0.83333,0.6287,0.58085,0.4107,0.94781,0.92405,0.0005216,0.0005216,0.0005216
114,1025.92,0.34507,0.60686,0.88293,0.6035,0.76667,0.6166,0.55466,0.4389,0.98393,0.95231,0.0005084,0.0005084,0.0005084
115,1034.97,0.36691,0.63877,0.91884,0.56166,0.83333,0.59482,0.53901,0.41168,1.00384,0.93776,0.0004952,0.0004952,0.0004952
116,1043.88,0.34648,0.69449,0.87861,0.52643,0.86667,0.58479,0.53712,0.38928,1.03295,0.90515,0.000482,0.000482,0.000482
117,1052.77,0.35804,0.64582,0.90109,0.52768,0.86667,0.61933,0.56281,0.39381,0.96949,0.9107,0.0004688,0.0004688,0.0004688
118,1061.69,0.34574,0.6223,0.8839,0.52699,0.93333,0.66032,0.61151,0.37518,1.02672,0.91499,0.0004556,0.0004556,0.0004556
119,1070.59,0.35172,0.64977,0.88675,0.54966,0.86667,0.601,0.5611,0.37472,0.98948,0.9128,0.0004424,0.0004424,0.0004424
120,1079.48,0.32694,0.75625,0.85581,0.56758,0.8752,0.59799,0.55188,0.38478,1.01346,0.91472,0.0004292,0.0004292,0.0004292
121,1088.39,0.33689,0.62013,0.86834,0.5438,0.8,0.58008,0.53323,0.38427,1.16803,0.90961,0.000416,0.000416,0.000416
